query_number,query_image_id,query_filename,rank,result_image_id,result_filename,score,name,sku
8,491,000491.webp,7,587,000587.webp,0.9564383029937744,Daily Wear Linen Saree White & Mustard Yellow QS303120,QS303120
8,491,000491.webp,8,436,000436.webp,0.9563237428665161,Crushed Organza Beige Saree Floral Design QS290780,QS290780
8,491,000491.webp,9,603,000603.webp,0.9516568183898926,Organza Saree Embroidery Border Half White QS315108,QS315108
8,491,000491.webp,10,733,000733.webp,0.9514691233634949,Linen Saree With White & Black Temple Border AA207923,AA207923
9,640,000640.webp,1,642,000642.webp,0.9587392210960388,Chiffon Saree With Heavy Ready Blouse Black & White QW208755,QW208755
9,640,000640.webp,2,230,000230.webp,0.945824384689331,Semi Organza Saree - Black Colour QS225313,QS225313
9,640,000640.webp,3,153,000153.webp,0.9387903213500977,Partywear Banarasi  Saree Navy Blue with blouse  - QS246332,QS246332
9,640,000640.webp,4,47,000047.webp,0.9379969239234924,Organza Saree - Black Colour - QS216262,QS216262
9,640,000640.webp,5,13,000013.webp,0.9371557831764221,Satin Printed Sarees - Blue Colour QA255500,QA255500
9,640,000640.webp,6,643,000643.webp,0.9363025426864624,Chiffon Saree With Heavy Ready Blouse Black & White QW208753,QW208753
9,640,000640.webp,7,251,000251.webp,0.9345015287399292,Satin Banarasi Saree Black With Zari Border QS279484,QS279484
9,640,000640.webp,8,285,000285.webp,0.9329860806465149,Pure Banaras saree With Gold Zari Floral Work Black Colour QS280545,QS280545
9,640,000640.webp,9,29,000029.webp,0.9325537085533142,Organza Saree With Aplic Work - Black Colour - QS213061,QS213061
9,640,000640.webp,10,147,000147.webp,0.9299535155296326,Kalamkari Grey Silk Saree with Traditional Mythological Motifs QS249284,QS249284
10,609,000609.webp,1,662,000662.webp,0.9358503818511963,Semi Tussar Saree With White Floral Embroidery Work Sage Green QS317019,QS317019
10,609,000609.webp,2,802,000802.webp,0.93436199426651,Tissue Banaras Saree-AA210369,AA210369
10,609,000609.webp,3,799,000799.webp,0.9324949383735657,Tissue Banaras Saree-AA210369,AA210369
10,609,000609.webp,4,611,000611.webp,0.9321812987327576,Semi Tussar Saree With White Floral Embroidery White QS315303,QS315303
10,609,000609.webp,5,664,000664.webp,0.9294082522392273,Semi Tussar Saree With White Floral Embroidery Work White QS317019,QS317019
10,609,000609.webp,6,222,000222.webp,0.9291983246803284,Semi Tussar Saree Beige QS273703,QS273703
10,609,000609.webp,7,798,000798.webp,0.925800085067749,Tissue Banaras Saree Pastel Pink AA210369,AA210369
10,609,000609.webp,8,663,000663.webp,0.9228662848472595,Semi Tussar Saree With White Floral Embroidery Work Yellow QS317019,QS3117002
10,609,000609.webp,9,737,000737.webp,0.9223424196243286,Semi Tussar Saree Cream Colour AA206740,AA206740
10,609,000609.webp,10,911,000911.webp,0.9212281703948975,Tissue saree Metallic Dual-Tone Colour Traditional  Folk Art Pallu AA300343,AA300343
11,142,000142.webp,1,144,000144.webp,0.9729310274124146,Dola Elephant Print Stripe Red Saree QS250269,QS250269
11,142,000142.webp,2,143,000143.webp,0.9508542418479919,Dola Elephant Print Stripes Wine Saree QS250271,QS250271
11,142,000142.webp,3,140,000140.webp,0.930446207523346,Dola Elephant Print Stripes Purple Saree QS250284,QS250284
11,142,000142.webp,4,691,000691.webp,0.9175087213516235,Pure Handloom Kora Saree Vibrant Red & Pink AA201725,AA201725
11,142,000142.webp,5,751,000751.webp,0.9167602062225342,Semi Tussar Saree Royal Mulberry Purple AA206669,AA206669
11,142,000142.webp,6,253,000253.webp,0.9161440134048462,Satin Banarasi Saree Rani Pink With Zari Border QS279511,QS279511
11,142,000142.webp,7,918,000918.webp,0.9118301272392273,Linen Saree Deep Red AA213084,AA213084
11,142,000142.webp,8,749,000749.webp,0.9117562770843506,Semi Tussar Saree Raspberry Pink AA206669,AA206669
11,142,000142.webp,9,715,000715.webp,0.910205602645874,Semi Tussar Saree Crimson Red AA206403,AA206403
11,142,000142.webp,10,103,000103.webp,0.909574031829834,Rangkat Banarasi Saree Multicolor  with Peacock & Floral Motifs and Magenta Zari Border QS239062,QS239062
12,690,000690.webp,1,691,000691.webp,0.9278509616851807,Pure Handloom Kora Saree Vibrant Red & Pink AA201725,AA201725
12,690,000690.webp,2,698,000698.webp,0.9239861965179443,Handloom Kora Saree Lemon Orange & Red AA201736,AA201736
12,690,000690.webp,3,767,000767.webp,0.9199662804603577,Pure Mysore Silk Saree Baby Pink & Royal Blue AA207601,AA207601
12,690,000690.webp,4,716,000716.webp,0.9170041680335999,Semi Tussar Saree Mauve Purple AA206403,AA206403
12,690,000690.webp,5,755,000755.webp,0.9168683290481567,Linen Cotton Saree Multi-Color Rainbow Stripe White Lace Border AA207958,AA207958
12,690,000690.webp,6,649,000649.webp,0.9139522314071655,Kathan Silk Saree QS318764,QS318764
12,690,000690.webp,7,751,000751.webp,0.9113087058067322,Semi Tussar Saree Royal Mulberry Purple AA206669,AA206669
12,690,000690.webp,8,584,000584.webp,0.9062525033950806,Linen Cotton Saree Elephant Print Mustard QS312011,QS312011
12,690,000690.webp,9,770,000770.webp,0.9061641693115234,Pure Mysore Silk Saree Red & Black AA208568,AA208568
12,690,000690.webp,10,916,000916.webp,0.9056766033172607,Linen Saree Maroon AA213084,AA213084
13,665,000665.webp,1,618,000618.webp,0.9696444869041443,Semi Tussar Saree With White Floral Embroidery Work Baby Pink QS315321,QS315321
13,665,000665.webp,2,738,000738.webp,0.9675741195678711,Semi Tussar Saree Blush Pink Colour AA206740,AA206740
13,665,000665.webp,3,613,000613.webp,0.9581162333488464,Semi Tussar Saree With White Floral Embroidery Baby Pink QS315303,QS315303
13,665,000665.webp,4,716,000716.webp,0.9571574926376343,Semi Tussar Saree Mauve Purple AA206403,AA206403
13,665,000665.webp,5,736,000736.webp,0.95689857006073,Semi Tussar Saree Peach Colour AA206740,AA206740
13,665,000665.webp,6,914,000914.webp,0.9551684856414795,Tissue Saree Peach Pink Dual-Tone Colour Traditional Folk Art Pallu AA300343,AA300343
13,665,000665.webp,7,855,000855.webp,0.9538586735725403,Semi Tussar Saree Pastel Pink AA212828,AA212828
13,665,000665.webp,8,715,000715.webp,0.9533408284187317,Semi Tussar Saree Crimson Red AA206403,AA206403
13,665,000665.webp,9,845,000845.webp,0.9527212381362915,Semi Tussar Saree Pastel Pink AA212783,AA212783
13,665,000665.webp,10,253,000253.webp,0.9526594877243042,Satin Banarasi Saree Rani Pink With Zari Border QS279511,QS279511
14,262,000262.webp,1,249,000249.webp,0.9701586961746216,Satin Banarasi Saree Royal Blue With Zari Border  QS279486,QS279486
14,262,000262.webp,2,289,000289.webp,0.9693692922592163,Navy Blue Pure Mysore Silk Saree with Golden Checks and Border QS28743,QS28743
14,262,000262.webp,3,263,000263.webp,0.9575679302215576,Pure Satin Banarasi Regal Purple & Black Striped Saree QS279681,QS279681
14,262,000262.webp,4,237,000237.webp,0.956417441368103,Satin Banarasi Saree Royal Blue With Zari Border QS279507,QS279507
14,262,000262.webp,5,721,000721.webp,0.9552189111709595,Semi Tussar Saree Steel Grey AA206390,AA206390
14,262,000262.webp,6,277,000277.webp,0.9526036977767944,Pure Handloom Banaras Saree Black QS279684,QS279684
14,262,000262.webp,7,337,000337.webp,0.9525747299194336,Tussar Saree Teal QS286139,QS286139
14,262,000262.webp,8,672,000672.webp,0.9520707130432129,Semi Viscose Deep Purple With Temple Border QW208695,QW208695
14,262,000262.webp,9,479,000479.webp,0.951981246471405,Semi Khaddhi Georgette Saree Purple QS295360,QS295360
14,262,000262.webp,10,305,000305.webp,0.95180743932724,Pure Mysore Silk Saree Small Zari Checks Pink Colour QS283458,QS283458
15,970,000970.webp,1,972,000972.webp,0.9588736891746521,Linen Cotton Saree AA307172,AA307172
15,970,000970.webp,2,1020,001020.webp,0.9559420347213745,Semi Tussar Saree Off White AA312343,AA312343
15,970,000970.webp,3,1017,001017.webp,0.9550219178199768,Linen Cotton Saree AA307172,AA307172
15,970,000970.webp,4,1033,001033.webp,0.9523763656616211,Mul Cotton Saree With Sequin Work Sage Gray AA313974,AA313974
15,970,000970.webp,5,1028,001028.webp,0.9512128233909607,Banarasi Saree Beige AA313894,AA313894
15,970,000970.webp,6,1010,001010.webp,0.949953556060791,Chanderi Saree Magenta Pink AA311777,AA311777
15,970,000970.webp,7,1032,001032.webp,0.949873685836792,Mul Cotton Saree With Sequin Work Yellow AA313974,AA313974
15,970,000970.webp,8,1074,001074.webp,0.9477200508117676,Pure Kancipuram Saree With Gandaberunda Motife AA314608,AA314608
15,970,000970.webp,9,985,000985.webp,0.9453702569007874,Pure Mysore Silk Crape Saree Navy Blue AA310740,AA310740
15,970,000970.webp,10,1011,001011.webp,0.9450915455818176,Chanderi Saree Grey AA311777,AA311777
16,52,000052.webp,1,41,000041.webp,0.9606178998947144,Ajrakh Printed Sarees -Black Colour - QS215164,QS215164
16,52,000052.webp,2,75,000075.webp,0.9588608145713806,Ajrakh Printed Sarees - Dark Blue Colour - QS215527,QS215527
16,52,000052.webp,3,419,000419.webp,0.9575920104980469,Mul Cotton Saree QS291274,QS291274
16,52,000052.webp,4,66,000066.webp,0.9527909755706787,Pashmina Printed Saree - Banarasi Crape - QS218562,QS218562
16,52,000052.webp,5,64,000064.webp,0.9512318968772888,Pashmina Printed Saree - Banarasi Crape - QS218569,QS218569
16,52,000052.webp,6,337,000337.webp,0.9504804611206055,Tussar Saree Teal QS286139,QS286139
16,52,000052.webp,7,440,000440.webp,0.9497870802879333,Teal Blue Saree Zari Checks & Floral Border QS287929,QS287929
16,52,000052.webp,8,65,000065.webp,0.9492731094360352,Pashmina Printed Saree - Banarasi Crape - QS218564,QS218564
16,52,000052.webp,9,42,000042.webp,0.9492040872573853,Ajrakh Printed Sarees - Maroon Colour - QS215442,QS215442
16,52,000052.webp,10,309,000309.webp,0.9483346939086914,Pure Mysore Silk Saree Blue & Off-White QS284400,QS284400
17,689,000689.webp,1,301,000301.webp,0.9553582668304443,Handloom Pure Silk Sarees QS283097,QS283097
17,689,000689.webp,2,914,000914.webp,0.9543290138244629,Tissue Saree Peach Pink Dual-Tone Colour Traditional Folk Art Pallu AA300343,AA300343
17,689,000689.webp,3,472,000472.webp,0.9508002996444702,Semi Khaddhi Georgette Saree Redish Orange QS295450,QS295450
17,689,000689.webp,4,691,000691.webp,0.9492640495300293,Pure Handloom Kora Saree Vibrant Red & Pink AA201725,AA201725
17,689,000689.webp,5,577,000577.webp,0.9479779601097107,Pure Kanjeevaram Silk Saree Deep Maroon Shade I200093,I200093
17,689,000689.webp,6,542,000542.webp,0.9471865296363831,Semi Tussar Saree Vibrant Orange & Purple Border QS299393,QS299393
17,689,000689.webp,7,771,000771.webp,0.9467791318893433,Pure Mysore Silk Saree Orange & Brown AA208568,AA208568
17,689,000689.webp,8,726,000726.webp,0.9467157125473022,Pure Handloom Tussar Saree Dusty Rose QS318759,QS318759
17,689,000689.webp,9,531,000531.webp,0.9454345107078552,Semi Tussar Saree Elegant Peach & Blush Pink Border QS299395,QS299404
17,689,000689.webp,10,742,000742.webp,0.9451085329055786,Banarasi Saree Leheriya Print Orange & Red QS319403,QS319403
18,108,000108.webp,1,400,000400.webp,0.942572832107544,Banarasi Saree With Jaal Work Royal Blue QS286907,QS286907
18,108,000108.webp,2,756,000756.webp,0.9402627944946289,Cotton Saree Black Bird Design AA207916,AA207916
18,108,000108.webp,3,721,000721.webp,0.9372358322143555,Semi Tussar Saree Steel Grey AA206390,AA206390
18,108,000108.webp,4,113,000113.webp,0.9354068636894226,Habutai Banarasi Black with Golden Zari Border & Polka Buttas QS240743,QS240743
18,108,000108.webp,5,193,000193.webp,0.9333115816116333,Semi Tussar Saree with Contrast Woven Check  Black QS268002,QS268002
18,108,000108.webp,6,129,000129.webp,0.9317982196807861,Dola Peacock Motif Orange Banarasi Silk Saree QS248075,QS248075
18,108,000108.webp,7,420,000420.webp,0.9306547045707703,Mul Cotton Saree QS291292,QS291292
18,108,000108.webp,8,135,000135.webp,0.9303132891654968,Dola Pichwai Cow  Purple Silk Saree QS248150,QS248150
18,108,000108.webp,9,925,000925.webp,0.9302352070808411,Georgette Saree Magenta With Gandaberunda Motif AA200321,AA200321
18,108,000108.webp,10,459,000459.webp,0.929755687713623,Banarasi Saree Intricate Gold Zari Jaal & Meenakari Accents Purple QS293484,QS293484
19,1000,001000.webp,1,999,000999.webp,0.9728214740753174,Patola Saree With Pink Floral Motifs AA311596,AA311596
19,1000,001000.webp,2,1010,001010.webp,0.9575846791267395,Chanderi Saree Magenta Pink AA311777,AA311777
19,1000,001000.webp,3,1017,001017.webp,0.9549551010131836,Linen Cotton Saree AA307172,AA307172
19,1000,001000.webp,4,1001,001001.webp,0.9534087777137756,Patola Silk Saree Magenta Pink AA311596,AA311598
19,1000,001000.webp,5,908,000908.webp,0.9516037106513977,Georgette Pink saree AA300817,AA300817
19,1000,001000.webp,6,941,000941.webp,0.9512079358100891,Chiffon Saree Floral Print Off-White QS308050,QS308050
19,1000,001000.webp,7,909,000909.webp,0.9477739930152893,Georgette Lavender Saree AA300817,AA300817
19,1000,001000.webp,8,657,000657.webp,0.9471335411071777,Linen Saree Delicate Embroidery With White & Pink  QS304656,QS304656
19,1000,001000.webp,9,1035,001035.webp,0.9458109140396118,Mul Cotton Saree With Sequin Work Magenta Pink,AA313974
19,1000,001000.webp,10,1018,001018.webp,0.9452797174453735,Linen Cotton Saree AA307172,AA307172
20,359,000359.webp,1,356,000356.webp,0.9488899111747742,Semi Tussar Saree with Contrast Woven Check Maroon QS268002,QS268002
20,359,000359.webp,2,357,000357.webp,0.9435611367225647,Semi Tussar Saree with Contrast Woven Check Olive Green QS268002,QS268002
20,359,000359.webp,3,724,000724.webp,0.9350627660751343,Semi Tussar Saree Olive Green AA206390,AA206390
20,359,000359.webp,4,934,000934.webp,0.9318091869354248,Pure Tussar Saree Grey & Black AA301305,AA301305
20,359,000359.webp,5,854,000854.webp,0.9296995401382446,Cocktail Party Wear Elegant Champagne Beige Sequin Saree AA212503,AA212503
20,359,000359.webp,6,901,000901.webp,0.9292603731155396,Georgette Vibrant Yellow Saree AA300817,AA300817
20,359,000359.webp,7,1039,001039.webp,0.9227570295333862,Semi Tussar Black Saree AA312294,AA312294
20,359,000359.webp,8,1028,001028.webp,0.920937180519104,Banarasi Saree Beige AA313894,AA313894
20,359,000359.webp,9,904,000904.webp,0.9194565415382385,Cocktail Party Wear Elegant Mint Green Sequin Saree AA212503,AA212503
20,359,000359.webp,10,193,000193.webp,0.9192564487457275,Semi Tussar Saree with Contrast Woven Check  Black QS268002,QS268002
